slug,title,provider,provider_slug,category,tags,level,price_type,price_amount,price_currency,duration_hours,url,summary,highlights,is_featured,display_order
freecodecamp-responsive-web-design,Responsive Web Design,freeCodeCamp,freecodecamp,web,html|css|frontend|responsive,beginner,free,,INR,300,https://www.freecodecamp.org/learn/2022/responsive-web-design/,Build real web pages from scratch and finish with five projects you can show anyone.,Completely free|Certificate included|Project-based,true,10
freecodecamp-javascript-algorithms,JavaScript Algorithms and Data Structures,freeCodeCamp,freecodecamp,web,javascript|algorithms|dsa,beginner,free,,INR,300,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures-v8/,Learn JavaScript properly and get comfortable with the problem-solving style interviews use.,Completely free|Certificate included|Good interview prep,true,20
yuva-ai-indiaai,YUVA AI,IndiaAI Mission,indiaai,ai,ai|government|beginner|india,beginner,free,,INR,10,https://indiaai.gov.in/,A government-backed introduction to AI basics with a recognised certificate at the end.,Government certificate|Free|No AI knowledge needed,true,25
hackerrank-problem-solving-basic,Problem Solving (Basic),HackerRank,hackerrank,dsa,dsa|problem-solving|interview,beginner,free,,INR,2,https://www.hackerrank.com/skills-verification/problem_solving_basic,A short timed test that puts a verifiable badge on your profile.,Free|Takes about 90 minutes|Recruiters recognise it,true,30
elements-of-ai,Elements of AI,University of Helsinki,elements-of-ai,ai,ai|fundamentals|non-technical,beginner,free,,INR,30,https://www.elementsofai.com/,"The gentlest AI introduction there is — no maths, no coding, university-backed.",Free|No coding required|University backed,true,35
nptel-course,NPTEL certification courses,NPTEL / SWAYAM,nptel,academic,nptel|swayam|government,intermediate,freemium,,INR,120,https://nptel.ac.in/,Taught by IIT and IISc faculty. Free to study; you pay only for the proctored exam.,Free to learn|Taught by IIT faculty|Well respected in India,true,40
aws-certified-ai-practitioner,AWS Certified AI Practitioner,AWS,aws,ai,ai|generative-ai|aws|certification,beginner,paid,100,USD,40,https://aws.amazon.com/certification/certified-ai-practitioner/,"The best entry-level AI badge from a vendor — assumes no coding, so it suits career changers.",No coding needed|Recognised instantly|Roughly 100 USD exam,true,45
aws-cloud-practitioner,AWS Certified Cloud Practitioner,AWS,aws,cloud,aws|cloud|certification,beginner,paid,,INR,25,https://aws.amazon.com/certification/certified-cloud-practitioner/,"The usual first cloud certificate — broad, not deeply technical, and widely asked for.",Globally recognised|Good starting point|Valid for 3 years,true,50
coursera-ibm-ai-engineering,IBM AI Engineering Professional Certificate,Coursera,coursera,ai,machine-learning|deep-learning|python|ibm,intermediate,paid,,INR,150,https://www.coursera.org/professional-certificates/ai-engineer,A well-rounded job-focused AI path — often the best all-round pick if you want just one certificate.,Job focused|Hands-on projects|Recognised employer name,true,55
freecodecamp-backend-apis,Back End Development and APIs,freeCodeCamp,freecodecamp,web,nodejs|express|api|backend,intermediate,free,,INR,300,https://www.freecodecamp.org/learn/back-end-development-and-apis/,Build and ship working APIs with Node and Express instead of only reading about them.,Completely free|Certificate included|Builds a real portfolio,false,60
aws-solutions-architect-associate,AWS Certified Solutions Architect – Associate,AWS,aws,cloud,aws|cloud|architecture,intermediate,paid,,INR,80,https://aws.amazon.com/certification/certified-solutions-architect-associate/,One of the highest-paying certificates in India. Expect real study time.,Strong salary impact|Very widely requested|Needs real preparation,true,60
coursera-ml-specialization,Machine Learning Specialization,Coursera,coursera,ai,machine-learning|python|andrew-ng,intermediate,paid,,INR,90,https://www.coursera.org/specializations/machine-learning-introduction,The best-known starting point for machine learning proper. Some Python and maths needed first.,Industry standard|Taught by Andrew Ng|Needs Python basics,true,65
kaggle-python,Python,Kaggle Learn,kaggle,data,python|programming,beginner,free,,INR,5,https://www.kaggle.com/learn/python,A short hands-on Python course you can finish in an afternoon.,Free|Very short|Runs in the browser,false,70
coursera-google-data-analytics,Google Data Analytics Professional Certificate,Coursera,coursera,data,data-analysis|sql|tableau|google,beginner,paid,,INR,180,https://www.coursera.org/professional-certificates/google-data-analytics,A complete beginner-to-job-ready path in data analysis. No degree needed to start.,No experience required|Built by Google|Portfolio projects included,true,70
kaggle-intro-machine-learning,Intro to Machine Learning,Kaggle Learn,kaggle,data,machine-learning|python|pandas,beginner,free,,INR,3,https://www.kaggle.com/learn/intro-to-machine-learning,Your first working machine learning model without any setup on your laptop.,Free|No installation needed|Practical from step one,false,80
kaggle-pandas,Pandas,Kaggle Learn,kaggle,data,pandas|python|data-analysis,beginner,free,,INR,4,https://www.kaggle.com/learn/pandas,The data-handling library that shows up in almost every data job description.,Free|Short|Directly useful at work,false,90
hackerrank-sql-basic,SQL (Basic),HackerRank,hackerrank,data,sql|database,beginner,free,,INR,2,https://www.hackerrank.com/skills-verification/sql_basic,Prove you can write real queries — the skill most data job posts ask for first.,Free|Short test|Shareable badge,false,100
hackerrank-python-basic,Python (Basic),HackerRank,hackerrank,programming,python|programming,beginner,free,,INR,2,https://www.hackerrank.com/skills-verification/python_basic,A quick verified badge for the language most entry-level roles start with.,Free|Short test|Shareable badge,false,110
postman-api-student-expert,API Fundamentals Student Expert,Postman,postman,web,api|postman|backend,beginner,free,,INR,6,https://academy.postman.com/,Understand how APIs actually work — the thing most beginners skip and later regret.,Free|Certificate included|Well known to developers,false,120
google-digital-marketing,Fundamentals of Digital Marketing,Google,google,marketing,digital-marketing|seo|ads,beginner,free,,INR,40,https://learndigital.withgoogle.com/digitalgarage,A recognised free certificate covering the basics of marketing online.,Free certificate|Accredited content|Good for non-technical roles,false,130
cisco-intro-cybersecurity,Introduction to Cybersecurity,Cisco Networking Academy,cisco,security,cybersecurity|networking,beginner,free,,INR,15,https://www.netacad.com/courses/introduction-to-cybersecurity,A gentle first step into security from a name every IT recruiter knows.,Free|Certificate of completion|No prior experience needed,false,140
microsoft-learn-azure-fundamentals,Azure Fundamentals training path,Microsoft Learn,microsoft,cloud,azure|cloud|az-900,beginner,free,,INR,10,https://learn.microsoft.com/en-us/training/,All the training is free — you only pay if you decide to sit the AZ-900 exam.,Training is free|Official Microsoft material|Exam optional,false,150
aws-skill-builder-free,AWS Skill Builder free courses,AWS,aws,cloud,aws|cloud,beginner,freemium,,INR,20,https://skillbuilder.aws/,Amazon's own free training. The paid exam afterwards is optional but is what employers check.,Free training|Official AWS content|Leads to a paid exam,false,160
